chnm	casn	gene_name	assay_name	assay_format_type	assay_source_name	organism	logc	resp	idx
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	0.84509804	3.265399803	82866
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	1.301029996	2.791742138	82867
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	1.77815125	2.904217812	82868
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	2.301029996	2.271209856	82869
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-1.096910013	3.232195008	82870
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-0.522878745	3.152185471	82871
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-0.096910013	3.502165886	82872
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	0.301029996	3.092316557	82873
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	0.84509804	3.265399803	82874
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	1.301029996	2.791742138	82875
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	1.77815125	2.904217812	82876
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	2.301029996	2.271209856	82877
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-1.096910013	3.485926645	135697
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-0.522878745	3.338896853	135698
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-0.096910013	2.508005424	135699
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	0.301029996	2.400268184	135700
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	0.84509804	3.576172756	135701
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	1.301029996	3.24309406	135702
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	1.77815125	2.92563831	135703
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	2.301029996	2.238720939	135704
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-1.096910013	3.485926645	135705
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-0.522878745	3.338896853	135706
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-0.096910013	2.508005424	135707
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	0.301029996	2.400268184	135708
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	0.84509804	3.576172756	135709
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	1.301029996	3.24309406	135710
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	1.77815125	2.92563831	135711
